Product,Issue,Sub-issue,Consumer complaint narrative
Credit card,"Other features, terms, or problems",Problem with customer service,"I made a purchase using my XXXX XXXX  account for XXXX XXXX. This was a service that provided automated trading for which they offered a XXXX  day money back guarantee if I failed to make money. The cost was {$9900.00}. 

Over the XXXX  days, I ended up losing $ XXXX on an initial investment of $ XXXX. The company was stonewalling so I filed a dispute on my card as I knew or at least thought I was protected. 

I was told I had XXXX  days to file the dispute and did exactly that. I sent all info in supporting the dispute timely. After a couple weeks, I finally received an email in my junk folder ( no call ) stating some of the attachments did not come through.. I replied to the email timely with all the attachments and asked them to please call me if they had any questions. I also sent the same info back to a separate dispute email to ensure they had it. 


A few days later I received an email stating the attachments did not go through, so I sent once again and once again asking for a call. A few days later I received the same email again so this time I printed everything out, scanned all the documents and reset. 

A few days later I received an email from XXXX XXXX  indicating they were issuing a full refund for {$9900.00} ( what I paid ) so I assumed the dispute was settled as I sent all documentation supporting the XXXX  day guarantee, proof of my loss, and conversations with XXXX XXXX. 

Yesterday I called Citi to confirm and was told that my dispute was closed as time elapsed. I asked why I was told I had XXXX  days and that the delays were on XXXX  side. I further explained that no one ever called me even though I asked several times. I asked to speak with someone and was told the investigation teams do not take calls. They would not even help me after I said I received an email showing a credit was issued and all they said is it could take time I am at a loss due to this blackhole of misinformation and lack of communication and may be out {$9900.00} due to XXXX  lack of transparency and urgency."
Debt collection,Written notification about debt,Didn't receive notice of right to dispute,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Mortgage,Struggling to pay mortgage,Foreclosure,
Mortgage,Trouble during payment process,Payment process,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Credit card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,
Debt collection,Attempts to collect debt not owed,Debt is not yours,
Credit card,Incorrect information on your report,Account status incorrect,
Credit card,Getting a credit card,Application denied,
Debt collection,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,
Vehicle loan or lease,Repossession,Lender trying to repossess or disable the vehicle,"Subject : Complaint Regarding Vehicle Repossession and Breach of Contract Dear Consumer Financial Protection Bureau, I am writing to formally lodge a complaint regarding the wrongful repossession of my vehicle that occurred on XX/XX/XXXX, by Hyundai Motor Finance. I believe this action constitutes a violation of the terms outlined in my original retail installment contract ( see attached document ( XXXX ) and an amended contract that I submitted on XX/XX/XXXX. 

According to my original retail installment contract, any amendments must be documented in writing and signed by both parties. I submitted an amended retail installment contract, which was sent via USPS Registered Mail, acknowledged as received on XX/XX/XXXX ( tracking number XXXX ) to Hyundais Motor Finance Trustee XXXX XXXX XXXX at XXXX XXXX XXXX XXXX on XX/XX/XXXX, at XXXX ( tracking number XXXX ) at XXXX to XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( See attached document ( s ) who are the sole trustees based on Hyundai Auto Receivables XXXX XXXX, XX/XX/XXXX, SEC XXXX annual report which is filed with Securities and Exchange Commission ( SEC ) XXXX This document is a legitimate and binding amendment to the original agreement, establishing my rights as the buyer. 

Hyundai Motor Finance has failed to honor the amended contract, disregarding the changes made, which ultimately led to the wrongful repossession of my vehicle. This failure represents a breach of contract that violates regulations in the UCC and the Truth in Lending Act of 1933. Additionally, I have not received my security interests or necessary documentation to conduct business in good faith, further illustrating a breach of trust that could be perceived as security fraud. 

Furthermore, I have expressly revoked any rights granted to Hyundai Motor Finance to repossess my vehicle and have not consented to share my personal information with any third party. This unauthorized repossession raises significant concerns regarding potential identity theft and fraud, under the regulations outlined in 15 U.S. Code 1681c-2. 

On XX/XX/XXXX, I submitted a promissory note in the amount of {$54000.00}, which represented the total full pay amount due on the vehicle. The instructions provided with this promissory note ( see attached document ( s ) specified that Hyundai had ten days to respond to any issues regarding the note ; however, my attempts to communicate and resolve this matter have been ignored. 

Thank you for your attention to this serious matter. I look forward to your prompt response."
